id,kanji,onyomi,kunyomi,meaning,score,taux,JLPT
394,育,iku,"sodatsu, hagukumu","bring, up, grow, up, raise",9.0,0.273,3.0
395,席,seki,mushiro,seat,9.0,0.273,3.0
396,訪,hou,"toozureru, tazuneru","call, on, visit",9.0,0.273,3.0
397,乗,"jou, shou",noru,ride,9.0,0.273,3.0
398,残,zan,nokoru,"remainder, balance",9.0,0.273,3.0
399,想,"sou, so",omou,"concept, think, idea",9.0,0.273,3.0
400,声,"sei, shou",koe,voice,9.0,0.273,3.0
401,助,jo,tasukeru,"help, rescue, assist",9.0,0.273,3.0
402,労,rou,"rousuru, itawaru, negirau","labor, thank, for",9.0,0.273,3.0
403,例,rei,tatoeba,example,9.0,0.273,3.0
404,然,"zen, nen","shika, sa","sort, of, thing, if, so",9.0,0.273,3.0
405,限,gen,kagiru,"limit, restrict",9.0,0.273,3.0
406,追,tsui,ou,"chase, drive, away",9.0,0.273,3.0
407,商,shou,akinau,"deal;, selling;, merchant",9.0,0.273,3.0
408,葉,you,ha,"leaf, plane, needle, blade, counter, for, flat, things",9.0,0.273,3.0
409,伝,den,tsutawaru,"transmit, go, along, walk, along, follow, report, communicate, legend, tradition",9.0,0.273,3.0
410,働,dou,hataraku,work,9.0,0.273,3.0
411,形,"kei, gyou","kata, katachi, nari","shape, form, style",9.0,0.273,3.0
412,景,"kei, ke",/,"scenery, view",9.0,0.273,3.0
413,落,raku,ochiru,"fall, drop",9.0,0.273,3.0
414,好,kou,"konomu, suku","fond, pleasing, like, something",9.0,0.273,3.0
415,退,tai,"shirizoku, hiku, nokeru, doku","retreat, withdraw, retire, resign, repel, expel, reject",9.0,0.273,3.0
416,頭,"tou, zu, to","atama, kashira",head,9.0,0.273,3.0
417,負,fu,"makeru, ou","defeat, negative, minus, assume, a, responsibility",9.0,0.273,3.0
418,渡,to,wataru,"transit, ferry, cross",9.0,0.273,3.0
419,失,shitsu,"ushinau, useru","lose, error, fault, disadvantage, loss",9.0,0.273,3.0
420,差,sa,sasu,"distinction, difference, variation",9.0,0.273,3.0
421,末,matsu,sue,"end, close, tip",9.0,0.273,3.0
422,守,"shu, su","mamoru, mori","guard, protect, obey",9.0,0.273,3.0
423,若,jaku,"wakai, moshi",young,9.0,0.273,3.0
424,種,shu,"tane, -gusa","species, kind, class, seed",9.0,0.273,3.0
425,美,"bi, mi",utsukushii,"beauty, beautiful",9.0,0.273,3.0
426,命,"mei, myou",inochi,"fate, command",9.0,0.273,3.0
427,福,fuku,/,"blessing, fortune, luck, wealth",9.0,0.273,3.0
428,望,bou,"nozomu, mochi","ambition, full, moon, hope, desire, aspire, to, expect",9.0,0.273,3.0
429,非,hi,arazu,"un-, mistake, negative",9.0,0.273,3.0
430,観,kan,miru,"outlook, appearance, condition",9.0,0.273,3.0
431,察,satsu,/,"guess, presume, judge",9.0,0.273,3.0
432,段,dan,/,"grade, steps, stairs",9.0,0.273,3.0
433,横,ou,yoko,"sideways, side",9.0,0.273,3.0
434,深,shin,fukai,"deep, heighten",9.0,0.273,3.0
435,申,shin,"mousu, saru","have, the, honor, to",9.0,0.273,3.0
436,様,you,"sama, san","manner, situation, polite, suffix",9.0,0.273,3.0
437,財,"zai, sai, zoku",/,"property, money, wealth, assets",9.0,0.273,3.0
438,港,kou,minato,"harbor, port",9.0,0.273,3.0
439,識,shiki,shiru,know,9.0,0.273,3.0
440,呼,ko,yobu,"call, invite",9.0,0.273,3.0
441,達,"tatsu, da","accomplished, reach, arrive, attain",15,9.0,0.0,
442,良,ryou,"yoi, ii",good,9.0,0.273,3.0
443,阪,han,saka,"heights, slope",9.0,0.273,3.0
444,候,kou,sourou,"climate, season, weather",9.0,0.273,3.0
445,程,tei,hodo,"extent, degree",9.0,0.273,3.0
446,満,man,michiru,"full, fullness, enough, satisfy",9.0,0.273,3.0
447,敗,hai,yabureru,"failure, defeat",9.0,0.273,3.0
448,値,chi,"ne, atai","price, cost, value",9.0,0.273,3.0
449,突,"totsu, ka",tsuku,"stab, protruding, thrust",9.0,0.273,3.0
450,光,kou,"hikaru, hikari","ray, light",9.0,0.273,3.0
451,路,"ro, ru",michi,"path, route, road",9.0,0.273,3.0
452,科,ka,/,"department, course, section",9.0,0.273,3.0
453,積,seki,tsumu,"volume, contents, pile, up, stack",9.0,0.273,3.0
454,他,ta,hoka,"other, another",9.0,0.273,3.0
455,処,sho,/,"dispose, manage, deal, with",9.0,0.273,3.0
456,太,"tai, ta",futoi,"plump, thick, big, around",9.0,0.273,3.0
457,客,"kyaku, kaku",/,"guest, visitor, customer",9.0,0.273,3.0
458,否,hi,"ina, iya","negate, no, decline",9.0,0.273,3.0
459,師,shi,/,"expert, teacher, master",9.0,0.273,3.0
460,登,"tou, to","noboru, agaru","ascend, climb, up",9.0,0.273,3.0
461,易,"eki, i","yasashii, yasui","easy, ready, to, simple",9.0,0.273,3.0
462,速,soku,hayai,"quick, fast",9.0,0.273,3.0
463,存,"son, zon",/,"exist, be, aware, of",9.0,0.273,3.0
464,飛,hi,tobu,fly,9.0,0.273,3.0
465,殺,"satsu, sai",korosu,"kill, murder",9.0,0.273,3.0
466,号,gou,/,"number, item",9.0,0.273,3.0
467,単,tan,hitoe,"simple, single",9.0,0.273,3.0
468,座,za,suwaru,"squat, seat, sit",9.0,0.273,3.0
469,破,ha,yaburu,"rip, tear, break",9.0,0.273,3.0
470,除,"jo, ji",nozoku,"exclude, remove",9.0,0.273,3.0
471,完,kan,/,"perfect, completion",9.0,0.273,3.0
472,降,"kou, go","oriru, furu","descend, precipitate, fall, surrender",9.0,0.273,3.0
473,責,seki,semeru,"blame, condemn",9.0,0.273,3.0
474,捕,ho,"toraeru, tsukamaeru","catch, capture",9.0,0.273,3.0
475,危,ki,"abunai, ayaui","dangerous, fear, uneasy",9.0,0.273,3.0
476,給,kyuu,"tamau, tamou","salary, wage, gift",9.0,0.273,3.0
477,苦,ku,"kurushii, nigai","suffering, bitter",9.0,0.273,3.0
478,迎,gei,mukaeru,"welcome, meet, greet",9.0,0.273,3.0
479,園,en,sono,"park, garden, yard",9.0,0.273,3.0
480,具,gu,"sonaeru, tsubasani","tool, utensil",9.0,0.273,3.0
481,辞,ji,yameru,"resign, word, term",9.0,0.273,3.0
482,因,in,"yoru, chinamu","cause, factor, depend, on",9.0,0.273,3.0
483,馬,ba,uma,horse,9.0,0.273,3.0
484,愛,ai,"itoshii, mana","love, affection",9.0,0.273,3.0
485,富,"fu, fuu","tomu, tomi","wealth, enrich, abundant",9.0,0.273,3.0
486,彼,hi,"kare, kano","he, him",9.0,0.273,3.0
487,未,"mi, bi","imada, mada","un-, not, yet",9.0,0.273,3.0
488,舞,bu,"mau, mai","dance, circle",9.0,0.273,3.0
489,亡,"bou, mou",nakunaru,"deceased, dying",9.0,0.273,3.0
490,冷,rei,"tsumetai, hieru, sameru","cool, cold, chill",9.0,0.273,3.0
491,適,teki,kanau,"suitable, occasional, rare",9.0,0.273,3.0
492,婦,fu,yome,"lady, woman, wife",9.0,0.273,3.0
493,寄,ki,yoru,"draw, near, gather",9.0,0.273,3.0
494,込,/,komu,"crowded, mixture",9.0,0.273,3.0
495,顔,gan,kao,"face, expression",9.0,0.273,3.0
496,類,rui,tagui,"sort, kind, variety, class, genus",9.0,0.273,3.0
497,余,yo,amaru,"too, much, surplus",9.0,0.273,3.0
498,王,ou,/,"king, rule",9.0,0.273,3.0
499,返,hen,kaesu,"return, answer",9.0,0.273,3.0
500,妻,sai,tsuma,"wife, spouse",9.0,0.273,3.0
501,背,hai,"se, sei","stature, height, back",9.0,0.273,3.0
502,熱,netsu,atsui,"heat, fever, passion",9.0,0.273,3.0
503,宿,shuku,yado,"inn, lodging",9.0,0.273,3.0
504,薬,yaku,kusuri,"medicine, chemical",9.0,0.273,3.0
505,険,ken,kewashii,"precipitous, inaccessible, place",9.0,0.273,3.0
506,頼,rai,"tanomu, tayoru","trust, request",9.0,0.273,3.0
507,覚,kaku,"oboeru, samasu","memorize, learn, remember, awake",9.0,0.273,3.0
508,船,sen,"fune, funa","ship, boat",9.0,0.273,3.0
509,途,to,michi,"route, way, road",9.0,0.273,3.0
510,許,kyo,yurusu,"permit, approve",9.0,0.273,3.0
511,抜,batsu,nuku,"slip, out, extract, pull, out, remove",9.0,0.273,3.0
512,便,"ben, bin",tayori,"convenience, facility",9.0,0.273,3.0
513,留,"ryuu, ru","tomaru, todomeru","detain, fasten, halt, stop",9.0,0.273,3.0
514,罪,zai,tsumi,"guilt, sin, crime",9.0,0.273,3.0
515,努,do,tsutomeru,"toil, diligent, as, much, as, possible",9.0,0.273,3.0
516,精,"sei, shou",shirageru,"refined, ghost, fairy, energy",9.0,0.273,3.0
517,散,san,"chiru, barakeru","scatter, disperse",9.0,0.273,3.0
518,静,"sei, jou",shizuka,quiet,9.0,0.273,3.0
519,婚,kon,/,marriage,9.0,0.273,3.0
520,喜,ki,yorokobu,"rejoice, take, pleasure, in",9.0,0.273,3.0
521,浮,fu,ukabu,"float, rise, to, surface",9.0,0.273,3.0
522,絶,zetsu,taeru,"discontinue, unparalleled",9.0,0.273,3.0
523,幸,kou,"saiwai, sara, shiawase","happiness, blessing, fortune",9.0,0.273,3.0
524,押,ou,osu,push,9.0,0.273,3.0
525,倒,tou,"overthrow, fall, collapse",15,9.0,0.0,
526,等,tou,"hitoshii, nado","etc., and, so, forth",9.0,0.273,3.0
527,老,rou,"oiru, fukeru",old,9.0,0.273,3.0
528,曲,kyoku,magaru,"bend, music, melody",9.0,0.273,3.0
529,払,/,harau,pay,9.0,0.273,3.0
530,庭,tei,niwa,"courtyard, garden, yard",9.0,0.273,3.0
531,徒,to,"itazura, ada","on, foot, junior, vanity, futility, uselessness",9.0,0.273,3.0
532,勤,"kin, gon",tsutomeru,"diligence, employed, serve",9.0,0.273,3.0
533,遅,chi,"okureru, osoi","slow, late, back, later",9.0,0.273,3.0
534,居,"kyo, ko","iru, oru","reside, to, be, exist",9.0,0.273,3.0
535,雑,"zatsu, zou",majiru,miscellaneous,9.0,0.273,3.0
536,招,shou,maneku,"invite, summon, engage",9.0,0.273,3.0
537,困,kon,komaru,"quandary, become, distressed",9.0,0.273,3.0
538,欠,"ketsu, ken",kakeru,"lack, gap",9.0,0.273,3.0
539,更,kou,"sarani, fukeru","renew, renovate, again",9.0,0.273,3.0
540,刻,koku,kizamu,"engrave, cut, fine, chop",9.0,0.273,3.0
541,賛,san,/,"approve, praise",9.0,0.273,3.0
542,抱,hou,"daku, idaku, kakaeru","embrace, hug",9.0,0.273,3.0
543,犯,han,okasu,"crime, sin, offense",9.0,0.273,3.0
544,恐,kyou,"osoreru, kowai","fear, dread",9.0,0.273,3.0
545,息,"musu, soku",iki,"breath, son, interest, on, money",9.0,0.273,3.0
546,遠,"en, on",tooi,"distant, far",9.0,0.273,3.0
547,戻,rei,modoru,"re-, return, revert",9.0,0.273,3.0
548,願,gan,negau,"petition, request, wish",9.0,0.273,3.0
549,絵,"kai, e",/,"picture, drawing",9.0,0.273,3.0
550,越,etsu,kosu,"surpass, cross, over, move, to, exceed",9.0,0.273,3.0
551,欲,yoku,hoshii,"longing, greed, passion",9.0,0.273,3.0
552,痛,tsuu,itai,"pain, hurt, damage, bruise",9.0,0.273,3.0
553,笑,shou,"warau, emu",laugh,9.0,0.273,3.0
554,互,go,"tagai, katamini","mutually, reciprocally, together",9.0,0.273,3.0
555,束,soku,"taba, tsuka","bundle, manage",9.0,0.273,3.0
556,似,"ji, ne",niru,"becoming, resemble, imitate",9.0,0.273,3.0
557,列,"retsu, re",/,"file, row, column",9.0,0.273,3.0
558,探,tan,"saguru, sagasu","search, look, for",9.0,0.273,3.0
559,逃,tou,"nigeru, nogasu","escape, flee",9.0,0.273,3.0
560,遊,yuu,asobu,play,9.0,0.273,3.0
561,迷,mei,mayou,"astray, be, perplexed, in, doubt, lost",9.0,0.273,3.0
562,夢,mu,yume,"dream, vision",9.0,0.273,3.0
563,君,kun,kimi,"you, male, name, suffix",9.0,0.273,3.0
564,閉,hei,"tojiru, shimeru","closed, shut",9.0,0.273,3.0
565,緒,sho,o,"beginning, end, cord, strap",9.0,0.273,3.0
566,折,"setsu, shaku","oru, ori","fold, break, fracture",9.0,0.273,3.0
567,草,sou,kusa,"grass, weeds, herbs",9.0,0.273,3.0
568,暮,bo,kurasu,"evening, livelihood",9.0,0.273,3.0
569,酒,shu,"sake, saka-","sake, alcohol",9.0,0.273,3.0
570,悲,hi,kanashii,"grieve, sad",9.0,0.273,3.0
571,晴,sei,hareru,"clear, up",9.0,0.273,3.0
572,掛,kei,kakeru,"hang, suspend",9.0,0.273,3.0
573,到,tou,itaru,"arrival, proceed, reach",9.0,0.273,3.0
574,寝,shin,neru,"lie, down, sleep, rest",9.0,0.273,3.0
575,暗,an,kurai,"darkness, disappear, shade, informal",9.0,0.273,3.0
576,盗,tou,nusumu,"steal, rob",9.0,0.273,3.0
577,吸,kyuu,suu,"suck, inhale",14.0,0.273,3.0
578,陽,you,hi,"sunshine, positive",9.0,0.273,3.0
579,御,"gyo, go","on, o",honorable,9.0,0.273,3.0
580,歯,shi,ha,"tooth, cog",9.0,0.273,3.0
581,忘,bou,wasureru,forget,9.0,0.273,3.0
582,雪,setsu,yuki,snow,9.0,0.273,3.0
583,吹,sui,fuku,"blow, breathe, puff",9.0,0.273,3.0
584,娘,jou,"musume, ko","daughter, girl",9.0,0.273,3.0
585,誤,go,ayamaru,mistake,9.0,0.273,3.0
586,洗,sen,arau,wash,9.0,0.273,3.0
587,慣,kan,nareru,"accustomed, get, used, to",9.0,0.273,3.0
588,礼,"rei, rai",/,"salute, bow, ceremony, thanks",9.0,0.273,3.0
589,窓,sou,mado,"window, pane",9.0,0.273,3.0
590,昔,"seki, shaku",mukashi,"once, upon, a, time, old, times",9.0,0.273,3.0
591,貧,"hin, bin",mazushii,"poverty, poor",9.0,0.273,3.0
592,怒,do,"ikaru, okoru","angry, be, offended",9.0,0.273,3.0
593,泳,ei,oyogu,swim,9.0,0.273,3.0
594,祖,so,/,"ancestor, pioneer, founder",9.0,0.273,3.0
595,杯,hai,sakazuki,"glass, cup",9.0,0.273,3.0
596,疲,hi,"exhausted, tire",15,9.0,0.0,
597,皆,kai,"mina, minna","all, everyone, everybody",9.0,0.273,3.0
598,鳴,mei,"naku, naru","chirp, cry, bark",9.0,0.273,3.0
599,腹,fuku,hara,"abdomen, belly, stomach",9.0,0.273,3.0
600,煙,en,"kemuru, kemuri",smoke,9.0,0.273,3.0
601,眠,min,nemuru,sleep,9.0,0.273,3.0
602,怖,fu,"kowai, ojiru","dreadful, fearful",9.0,0.273,3.0
603,耳,ji,mimi,ear,9.0,0.273,3.0
604,頂,chou,itadaku,"receive, top, summit, peak",9.0,0.273,3.0
605,箱,sou,hako,"box, chest",9.0,0.273,3.0
606,晩,ban,/,"nightfall, night",9.0,0.273,3.0
607,寒,kan,samui,cold,9.0,0.273,3.0
608,髪,hatsu,kami,"hair, on, the, head",9.0,0.273,3.0
609,忙,"bou, mou","busy, occupied",15,9.0,0.0,
610,才,sai,/,"genius, years, old",9.0,0.273,3.0
611,靴,ka,kutsu,shoes,9.0,0.273,3.0
612,恥,chi,"haji, hazukashii","shame, dishonor",9.0,0.273,3.0
613,偶,guu,tama,"accidentally, even, number",9.0,0.273,3.0
614,偉,i,erai,"admirable, greatness",9.0,0.273,3.0
615,猫,byou,neko,cat,9.0,0.273,3.0
616,幾,ki,ikutsu,"how, many, how, much, some",9.0,0.273,3.0
617,誰,sui,dare,"who, someone, somebody",9.0,0.273,3.0
618,党,tou,"nakama, mura","party, faction, clique",9.0,0.269,2.0
619,協,kyou,/,"co-, cooperation",9.0,0.269,2.0
620,総,sou,"subete, fusa","general, whole, all",9.0,0.269,2.0
621,区,ku,/,"ward, district",9.0,0.269,2.0
622,領,ryou,eri,"jurisdiction, dominion",9.0,0.269,2.0
623,県,ken,kakeru,prefecture,9.0,0.269,2.0
624,設,setsu,moukeru,"establishment, provision",9.0,0.269,2.0
625,保,"ho, hou",tamotsu,"protect, guarantee, keep",9.0,0.269,2.0
626,改,kai,aratameru,"reformation, change, modify",9.0,0.269,2.0
627,第,dai,/,"No., number",9.0,0.269,2.0
628,結,ketsu,"musubu, yuu","tie, bind, contract",9.0,0.269,2.0
629,派,ha,/,"faction, group, party",9.0,0.269,2.0
630,府,fu,/,"borough, urban, prefecture, govt, office",9.0,0.269,2.0
631,査,sa,/,investigate,9.0,0.269,2.0
632,委,i,yudaneru,"committee, entrust, to",9.0,0.269,2.0
633,軍,gun,ikusa,"army, force, troops",9.0,0.269,2.0
634,案,an,tsukue,"plan, suggestion, draft",9.0,0.269,2.0
635,策,saku,/,"scheme, plan, policy",9.0,0.269,2.0
636,団,"dan, ton","katamari, marui","group, association",9.0,0.269,2.0
637,各,kaku,onoono,"each;, every;, either",9.0,0.269,2.0
638,島,tou,shima,island,9.0,0.269,2.0
639,革,kaku,kawa,"leather;, skin;, reform;, become, serious",9.0,0.269,2.0
640,村,son,mura,"village;, town",9.0,0.269,2.0
641,勢,sei,ikioi,"forces;, energy;, military, strength",9.0,0.269,2.0
642,減,gen,heru,"dwindle;, decrease;, reduce",9.0,0.269,2.0
643,再,"sai, sa",futatabi,"again, twice, second, time",9.0,0.269,2.0
644,税,zei,/,"tax;, duty",9.0,0.269,2.0
645,営,ei,itonamu,"occupation;, camp;, perform;, build;, conduct, business",9.0,0.269,2.0
646,比,hi,kuraberu,"compare;, race;, ratio",9.0,0.269,2.0
647,防,bou,fusegu,"ward, off;, defend;, protect;, resist",9.0,0.269,2.0
648,補,ho,oginau,"supplement;, supply;, offset;, compensate",9.0,0.269,2.0
649,境,kyou,sakai,"boundary, border, region",9.0,0.269,2.0
650,導,dou,michibiku,"guidance;, leading;, conduct;, usher",9.0,0.269,2.0
651,副,fuku,/,"vice-;, assistant;, aide;, duplicate;, copy",9.0,0.269,2.0
652,算,san,soro,"calculate;, divining;, number;, probability",9.0,0.269,2.0
653,輸,"yu, shu",/,"transport, send, be, inferior",9.0,0.269,2.0
654,述,jutsu,noberu,"mention;, state;, speak",9.0,0.269,2.0
655,線,sen,suji,"line;, track",9.0,0.269,2.0
656,農,nou,/,"agriculture;, farmers",9.0,0.269,2.0
657,州,shuu,su,"state;, province",9.0,0.269,2.0
658,武,"bu, mu",takeshi,"warrior;, military;, chivalry;, arms",9.0,0.269,2.0
659,象,"shou, zou",katadoru,"elephant;, pattern, after;, image;, shape",9.0,0.269,2.0
660,域,iki,/,"range;, region;, limits;, stage;, level",9.0,0.269,2.0
661,額,gaku,hitai,"forehead;, tablet;, framed, picture;, sum;, amount;, volume",9.0,0.269,2.0
662,欧,ou,"utau, haku",Europe,9.0,0.269,2.0
663,担,tan,"katsugu, ninau","shouldering;, carry;, raise;, bear",9.0,0.269,2.0
664,準,jun,"junjiru, nazoraeru","semi-;, correspond, to;, imitate",9.0,0.269,2.0
665,賞,shou,homeru,"prize;, reward;, praise",9.0,0.269,2.0
666,辺,hen,"atari, hotori","environs;, boundary;, border;, vicinity",9.0,0.269,2.0
667,造,zou,tsukuru,"create;, make;, structure;, physique",9.0,0.269,2.0
668,被,hi,"koumuru, kaburu","incur;, cover;, shelter;, wear;, put, on",9.0,0.269,2.0
669,技,gi,waza,"skill;, art;, craft;, ability;, vocation;, arts",9.0,0.269,2.0
670,低,tei,hikui,"lower;, short;, humble",9.0,0.269,2.0
671,復,fuku,mata,"restore, return, to, revert",9.0,0.269,2.0
672,移,i,utsuru,"shift, move, change",9.0,0.269,2.0
673,個,ko,/,"individual;, counter, for, articles",9.0,0.269,2.0
674,門,mon,"kado, to",gate,9.0,0.269,2.0
675,課,ka,/,"chapter, lesson, section, department",9.0,0.269,2.0
676,脳,nou,nouzuru,"brain;, memory",9.0,0.269,2.0
677,極,"kyoku, goku",kiwameru,"poles;, settlement;, conclusion;, end",9.0,0.269,2.0
678,含,gan,fukumu,"contain;, include",9.0,0.269,2.0
679,蔵,zou,kura,"storehouse;, hide;, own;, have;, possess",9.0,0.269,2.0
680,量,ryou,hakaru,"quantity;, measure;, weight;, amount",9.0,0.269,2.0
681,型,kei,kata,"type;, model",9.0,0.269,2.0
682,況,kyou,mashite,"condition;, situation",9.0,0.269,2.0
683,針,shin,hari,"needle;, pin;, staple;, stinger",9.0,0.269,2.0
684,専,sen,moppara,"specialty;, exclusive;, mainly;, solely",9.0,0.269,2.0
685,谷,koku,"tani, kiwamaru",valley,9.0,0.269,2.0
686,史,shi,/,"history;, chronicle",9.0,0.269,2.0
687,階,kai,kizahashi,"stair;, counter, for, building, story",9.0,0.269,2.0
688,管,kan,kuda,"pipe;, tube;, wind, instrument;, control;, jurisdiction",9.0,0.269,2.0
689,兵,"hei, hyou",tsuwamono,"soldier;, private;, troops;, army",9.0,0.269,2.0
690,接,setsu,tsugu,"touch;, contact;, adjoin;, piece, together",9.0,0.269,2.0
691,細,sai,"hosoi, komakai","slender;, narrow;, detailed;, precise",9.0,0.269,2.0
692,効,kou,kiku,"merit;, efficacy;, efficiency;, benefit",9.0,0.269,2.0
693,丸,gan,"maru, marui","round;, full, month;, perfection",9.0,0.269,2.0
694,湾,wan,irie,"gulf;, bay;, inlet",9.0,0.269,2.0
695,録,roku,toru,record,9.0,0.269,2.0
696,省,"sei, shou","kaerimiru, habuku","focus;, government, ministry;, conserve",9.0,0.269,2.0
697,旧,kyuu,"furui, moto","old, times;, old, things;, former;, ex-",9.0,0.269,2.0
698,橋,kyou,hashi,bridge,9.0,0.269,2.0
699,岸,gan,kishi,beach,9.0,0.269,2.0
700,周,shuu,mawari,"circumference;, circuit;, lap",9.0,0.269,2.0
701,材,zai,/,"lumber, log, timber, wood",9.0,0.269,2.0
702,戸,ko,to,"door;, counter, for, houses",9.0,0.269,2.0
703,央,ou,/,"center;, middle",9.0,0.269,2.0
704,券,ken,/,ticket,9.0,0.269,2.0
705,編,hen,amu,"compilation;, knit;, braid;, twist;, editing",9.0,0.269,2.0
706,捜,sou,sagasu,"search;, look, for;, locate",9.0,0.269,2.0
707,竹,chiku,take,bamboo,9.0,0.269,2.0
708,超,chou,koeru,"transcend;, super-;, ultra-",9.0,0.269,2.0
709,並,hei,"nami, nami, naraberu","row, and, besides",9.0,0.269,2.0
710,療,ryou,/,"heal;, cure",9.0,0.269,2.0
711,採,sai,toru,"pick;, take;, fetch;, take, up",9.0,0.269,2.0
712,森,shin,mori,"forest, woods",9.0,0.269,2.0
713,競,"kyou, kei","kisou, seru","compete, with;, bid;, contest;, race",9.0,0.269,2.0
714,介,kai,/,"jammed, in;, shellfish;, mediate",9.0,0.269,2.0
715,根,kon,ne,"root;, radical",9.0,0.269,2.0
716,販,han,/,"marketing, sell, trade",9.0,0.269,2.0
717,歴,reki,/,"curriculum;, continuation;, passage, of, time",9.0,0.269,2.0
718,将,shou,"masani, hata","leader;, commander;, general;, admiral",9.0,0.269,2.0
719,幅,fuku,haba,"hanging, scroll;, width",9.0,0.269,2.0
720,般,han,/,"carrier;, carry;, all;, general;, sort;, kind",9.0,0.269,2.0
721,貿,bou,/,"trade;, exchange",9.0,0.269,2.0
722,講,kou,/,"lecture;, club;, association",9.0,0.269,2.0
723,林,rin,hayashi,"grove;, forest",9.0,0.269,2.0
724,装,"sou, shou",yosoou,"attire;, dress;, pretend;, disguise",9.0,0.269,2.0
725,諸,sho,moro,"various;, many;, several;, together",9.0,0.269,2.0
726,劇,geki,/,"drama;, play",9.0,0.269,2.0
727,河,ka,kawa,river,9.0,0.269,2.0
728,航,kou,/,"navigate;, sail;, cruise;, fly",9.0,0.269,2.0
729,鉄,tetsu,kurogane,iron,9.0,0.269,2.0
730,児,ji,ko,"newborn, babe;, child",9.0,0.269,2.0
731,禁,kin,/,"prohibition;, ban;, forbid",9.0,0.269,2.0
732,印,in,shirushi,"stamp;, seal;, mark;, symbol;, trademark",9.0,0.269,2.0
733,逆,gyaku,sakarau,"inverted;, reverse;, opposite",9.0,0.269,2.0
734,換,kan,kaeru,"interchange;, period;, change;, convert;, replace;, renew",9.0,0.269,2.0
735,久,"kyuu, ku",hisashii,"long, time;, old, story",9.0,0.269,2.0
736,短,tan,mijikai,"short;, fault;, defect;, weak, point",9.0,0.269,2.0
737,油,yu,abura,"oil;, fat",9.0,0.269,2.0
738,暴,"bou, baku",abaku,"outburst;, force;, violence",9.0,0.269,2.0
739,輪,rin,wa,"wheel;, ring;, circle;, link;, loop;, counter, for, wheels, and, flowers",9.0,0.269,2.0
740,占,sen,"shimeru, uranau","fortune-telling;, divining;, forecasting",9.0,0.269,2.0
741,植,shoku,ueru,plant,9.0,0.269,2.0
742,清,sei,kiyoi,"pure;, purify;, cleanse",9.0,0.269,2.0
743,倍,bai,/,"double;, twice;, times;, fold",9.0,0.269,2.0
744,均,kin,narasu,"level;, average",9.0,0.269,2.0
745,億,oku,/,"hundred, million;, 10**8",9.0,0.269,2.0
746,圧,atsu,osu,"pressure;, push;, overwhelm;, oppress",9.0,0.269,2.0
747,芸,gei,"ueru, nori, waza","technique;, art;, craft;, performance;, acting",9.0,0.269,2.0
748,署,sho,/,"signature;, govt, office;, police, station",9.0,0.269,2.0
749,伸,shin,nobiru,"expand;, stretch;, extend",9.0,0.269,2.0
750,停,tei,tomeru,"halt;, stopping",9.0,0.269,2.0
751,爆,baku,hazeru,"bomb;, burst, open",9.0,0.269,2.0
752,陸,"riku, roku",oka,"land;, six",14.0,0.269,2.0
753,玉,gyoku,tama,"jewel;, ball",9.0,0.269,2.0
754,波,ha,nami,"waves;, billows",9.0,0.269,2.0
755,帯,tai,obiru,"sash;, belt;, obi;, zone;, region",9.0,0.269,2.0
756,延,en,nobiru,"prolong;, stretching",9.0,0.269,2.0
757,羽,u,"ha, wa, hane","feathers;, counter, for, birds, rabbits",9.0,0.269,2.0
758,固,ko,katameru,"harden;, set;, clot;, curdle",9.0,0.269,2.0
759,則,soku,nottoru,"rule;, follow;, based, on",9.0,0.269,2.0
760,乱,ran,midareru,"riot;, war;, disorder;, disturb",9.0,0.269,2.0
761,普,fu,amaneku,"universal;, generally",9.0,0.269,2.0
762,測,soku,hakaru,"fathom;, plan;, scheme;, measure",9.0,0.269,2.0
763,豊,"hou, bu","yutaka, toyo","bountiful;, excellent;, rich",9.0,0.269,2.0
764,厚,kou,atsui,"thick;, heavy;, rich",9.0,0.269,2.0
765,齢,rei,"yowai, toshi",age,9.0,0.269,2.0
766,囲,i,kakomu,"surround;, enclosure;, preserve;, keep",9.0,0.269,2.0
767,卒,sotsu,sossuru,"graduate;, soldier;, private;, die",9.0,0.269,2.0
768,略,ryaku,hobo,"abbreviation;, omission;, outline;, shorten",9.0,0.269,2.0
769,承,shou,uketamawaru,"hear;, listen, to;, be, informed;, receive",9.0,0.269,2.0
770,順,jun,/,"obey;, order;, turn;, occasion",9.0,0.269,2.0
771,岩,gan,iwa,"boulder;, rock;, cliff",9.0,0.269,2.0
772,練,ren,neru,"practice, gloss, train, drill, polish, refine",9.0,0.269,2.0
773,軽,kei,karui,"lightly;, trifling;, unimportant",9.0,0.269,2.0
774,了,ryou,/,"complete;, finish",9.0,0.269,2.0
775,庁,chou,yakusho,"government, office",9.0,0.269,2.0
776,城,"jou, sei",shiro,castle,9.0,0.269,2.0
777,患,kan,wazurau,"afflicted;, disease;, suffer, from;, be, ill",9.0,0.269,2.0
778,層,sou,/,"stratum;, social, class;, layer;, story;, floor",9.0,0.269,2.0
779,版,han,/,"printing, block;, edition;, impression;, label",9.0,0.269,2.0
780,令,rei,/,"orders;, command;, decree",9.0,0.269,2.0
781,角,kaku,"kado, tsuno","angle;, corner;, square",9.0,0.269,2.0
782,絡,raku,karamu,"entwine;, coil, around;, get, caught, in",9.0,0.269,2.0
